Symbol,RMSE,MAE,MAPE,Accuracy (%),R2,Precision,Recall,F1_Score
INDUSINDBK,67.2782,57.1518,6.8829,93.1171,-0.0039,0.5116,0.5366,0.5238
BPCL,28.515,24.9061,7.666,92.334,-0.0064,0.4258,0.6111,0.5019
APOLLOHOSP,442.7054,349.6725,4.5433,95.4567,-0.0069,0.4417,0.4609,0.4511
POWERGRID,16.7877,13.4493,4.8047,95.1953,-0.0304,0.531,0.616,0.5704
HINDUNILVR,152.9717,126.6005,5.5434,94.4566,-0.0357,0.4848,0.5766,0.5267
BRITANNIA,297.95,231.5737,4.1492,95.8508,-0.0423,0.5946,0.5197,0.5546
LTM,792.8978,658.322,14.3912,85.6088,-0.1156,0.4968,0.65,0.5632
GRASIM,155.1122,105.0373,3.5673,96.4327,-0.2241,0.5976,0.3828,0.4667
BAJAJFINSV,150.0146,112.5206,6.1713,93.8287,-0.2416,0.4962,0.569,0.5301
ADANIPORTS,173.0366,118.1199,7.2338,92.7662,-0.254,0.4839,0.3782,0.4245
ULTRACEMCO,637.1436,509.0637,4.3751,95.6249,-0.2574,0.512,0.7083,0.5944
BAJFINANCE,69.4142,57.1309,5.8722,94.1278,-0.2766,0.5926,0.3636,0.4507
ASIANPAINT,221.8884,173.6718,6.6347,93.3653,-0.3224,0.5244,0.3496,0.4195
ADANIENT,351.7076,295.9418,13.0562,86.9438,-0.3415,0.4583,0.7521,0.5696
SUNPHARMA,99.1184,80.3193,4.5745,95.4255,-0.3434,0.6216,0.3309,0.4319
CIPLA,129.4961,96.3652,7.2386,92.7614,-0.4374,0.503,0.6829,0.5793
TATACONSUM,57.0531,48.0164,4.2006,95.7994,-0.4421,0.5735,0.3277,0.4171
AXISBANK,115.6991,101.2427,8.0176,91.9824,-0.4536,0.4923,0.2602,0.3404
NESTLEIND,119.1098,90.4913,6.7818,93.2182,-0.4902,0.6061,0.32,0.4188
TMCV,31.7859,25.1157,6.1144,93.8856,-0.513,0.5,0.4,0.4444
BHARTIARTL,125.2284,109.2805,5.7588,94.2412,-0.514,0.5083,0.7541,0.6073
NTPC,33.727,24.3625,6.532,93.468,-0.6635,0.5797,0.3306,0.4211
TITAN,441.6555,374.6618,9.1467,90.8533,-0.7071,0.4848,0.2645,0.3422
ONGC,30.5774,21.6333,7.9971,92.0029,-0.7193,0.5593,0.2683,0.3626
M&M,318.3166,256.0688,7.3396,92.6604,-0.7621,0.5938,0.3167,0.413
HDFCBANK,122.2779,85.0739,10.7113,89.2887,-0.7717,0.4432,0.7593,0.5597
SBILIFE,137.0765,102.9647,5.1963,94.8037,-0.8171,0.5926,0.252,0.3536
DRREDDY,55.8888,46.281,3.7253,96.2747,-0.9081,0.5433,0.904,0.6787
KOTAKBANK,31.6897,24.7859,6.3822,93.6178,-0.9936,0.5025,0.839,0.6286
ICICIBANK,89.4136,68.9878,5.273,94.727,-1.0551,0.4771,0.9204,0.6284
INFY,255.7696,201.0458,16.3787,83.6213,-1.2447,0.446,0.8796,0.5919
HDFCLIFE,114.9212,86.7132,13.8242,86.1758,-1.3076,0.4362,0.9815,0.604
SHRIRAMFIN,250.2903,210.66,22.484,77.516,-1.3311,0.5238,0.2481,0.3367
ITC,70.0489,53.5117,17.6491,82.3509,-1.3413,0.4537,0.9196,0.6077
TATASTEEL,28.76,23.0238,11.8932,88.1068,-1.4324,0.5833,0.1641,0.2561
WIPRO,40.4235,31.7792,15.708,84.292,-1.4866,0.4739,0.9397,0.6301
COALINDIA,62.8312,49.4396,11.313,88.687,-1.5486,0.6,0.0703,0.1259
LT,378.914,319.5361,8.0225,91.9775,-1.6269,0.5588,0.1545,0.242
BAJAJ-AUTO,1057.6268,887.4546,9.2917,90.7083,-1.6353,0.5517,0.128,0.2078
TECHM,145.9935,129.3296,9.1903,90.8097,-1.7497,0.4954,0.8852,0.6353
HCLTECH,282.0651,231.879,18.0914,81.9086,-1.9292,0.4681,0.9483,0.6268
HINDALCO,229.5577,191.3158,20.1335,79.8665,-2.106,0.5455,0.0863,0.1491
MARUTI,2599.8532,2154.2414,13.9557,86.0443,-2.1446,0.7692,0.0781,0.1418
TCS,628.0782,521.9027,21.0058,78.9942,-2.2309,0.4315,1.0,0.6028
SBIN,197.5735,165.1347,16.1583,83.8417,-2.2533,0.6471,0.0833,0.1477
RELIANCE,138.13,121.1607,8.8573,91.1427,-2.3648,0.4722,0.8793,0.6145
DIVISLAB,558.8559,480.061,7.7458,92.2542,-2.694,0.4958,0.9917,0.6611
TMPV,277.8357,240.757,67.2269,32.7731,-2.7138,0.4706,0.9369,0.6265
JSWSTEEL,153.9708,132.4523,10.9582,89.0418,-2.7146,0.7222,0.1,0.1757
EICHERMOT,1465.9442,1346.6738,18.7539,81.2461,-4.5,0.5556,0.0781,0.137
HEROMOTOCO,1169.3135,1077.7915,19.9371,80.0629,-5.5655,0.8,0.0312,0.0602
RELIANCE_dissertation_metrics,,,,,,,,
