Symbol,RMSE,MAE,MAPE,Accuracy (%),R2,Precision,Recall,F1_Score
TCS,93.7357,72.3232,2.3375,97.6625,0.9743,0.4441,0.7381,0.5546
ITC,10.4736,7.5056,2.008,97.992,0.9573,0.4954,0.4864,0.4908
WIPRO,6.0728,4.5734,1.9455,98.0545,0.957,0.4926,0.7137,0.5829
TATASTEEL,5.2964,4.0139,2.4619,97.5381,0.9546,0.5081,0.5123,0.5102
INDUSINDBK,40.8654,27.7295,3.1896,96.8104,0.9532,0.518,0.6102,0.5603
LTM,161.346,126.4788,2.4627,97.5373,0.9512,0.5248,0.4398,0.4786
TMPV,47.1562,32.2792,5.7555,94.2445,0.9511,0.4694,0.8402,0.6023
HEROMOTOCO,165.3966,125.2871,2.5457,97.4543,0.9471,0.5115,0.3724,0.431
HDFCLIFE,16.8316,13.3532,1.9233,98.0767,0.9449,0.4836,0.3138,0.3806
INFY,58.147,44.8118,2.8562,97.1438,0.9306,0.5304,0.2607,0.3496
BRITANNIA,136.9449,100.3581,1.8297,98.1703,0.9089,0.564,0.5595,0.5618
ADANIENT,100.3856,75.2793,3.09,96.91,0.9009,0.4537,0.6368,0.5299
ASIANPAINT,90.7525,72.5277,2.937,97.063,0.8998,0.5013,0.8462,0.6296
ONGC,7.2512,5.4998,2.2068,97.7932,0.8985,0.5385,0.3668,0.4364
AXISBANK,34.0067,25.9482,2.1327,97.8673,0.8921,0.5276,0.2851,0.3702
TATACONSUM,29.7318,22.7336,2.1379,97.8621,0.8782,0.5486,0.6026,0.5743
CIPLA,33.2858,26.1273,1.7969,98.2031,0.8775,0.4952,0.4256,0.4578
HCLTECH,64.9219,52.2882,3.4071,96.5929,0.873,0.4234,0.2035,0.2749
ADANIPORTS,68.7503,56.3474,4.0657,95.9343,0.8616,0.479,0.7435,0.5826
HINDALCO,57.5723,39.8599,4.5925,95.4075,0.8531,0.6154,0.2738,0.3789
HINDUNILVR,69.7066,55.7897,2.3058,97.6942,0.8435,0.5132,0.1733,0.2591
MARUTI,725.0996,536.1033,3.7659,96.2341,0.8259,0.5041,0.5169,0.5105
DRREDDY,26.806,21.0503,1.6797,98.3203,0.8216,0.5272,0.4059,0.4586
HDFCBANK,34.5244,28.7525,3.1601,96.8399,0.8058,0.5221,0.3074,0.3869
SBILIFE,90.1659,79.6492,4.3847,95.6153,0.8055,0.5,0.0146,0.0284
KOTAKBANK,12.99,10.6577,2.6112,97.3888,0.8015,0.5926,0.2025,0.3019
TECHM,47.2109,38.3846,2.5468,97.4532,0.792,0.5146,0.2236,0.3118
NESTLEIND,47.1488,35.4047,2.8102,97.1898,0.7907,0.488,0.3389,0.4
SBIN,59.3728,40.388,4.1705,95.8295,0.7835,0.5333,0.2267,0.3182
GRASIM,87.0584,69.8891,2.6108,97.3892,0.7694,0.5041,0.7754,0.611
COALINDIA,19.6727,16.8768,4.4424,95.5576,0.7633,0.5395,0.8506,0.6602
RELIANCE,48.5468,38.8203,2.8866,97.1134,0.7538,0.5068,0.7915,0.6179
TITAN,200.8666,157.9595,4.0546,95.9454,0.7357,0.4717,0.1042,0.1706
ULTRACEMCO,320.2495,250.2662,2.1596,97.8404,0.7205,0.5115,0.3739,0.432
LT,151.0429,117.7514,3.1624,96.8376,0.7194,0.4769,0.4079,0.4397
NTPC,17.1126,14.8291,4.3248,95.6752,0.6815,0.5285,0.7046,0.604
BPCL,20.6124,15.9742,4.9007,95.0993,0.6625,0.5714,0.1416,0.227
SUNPHARMA,48.3634,38.0968,2.1681,97.8319,0.6521,0.5893,0.2619,0.3626
APOLLOHOSP,323.0114,255.7491,3.3879,96.6121,0.6354,0.5238,0.1416,0.223
BAJAJ-AUTO,617.564,475.4049,5.2498,94.7502,0.6054,0.5183,0.6393,0.5725
SHRIRAMFIN,110.139,75.5357,8.5554,91.4446,0.5809,0.5844,0.186,0.2821
M&M,205.0387,163.6477,4.9995,95.0005,0.5706,0.5728,0.2438,0.342
BAJAJFINSV,100.6795,84.7074,4.3436,95.6564,0.568,0.527,0.1646,0.2508
EICHERMOT,787.3495,603.4223,8.876,91.124,0.4656,0.5,0.0458,0.084
BAJFINANCE,85.372,70.7793,7.5679,92.4321,0.4593,0.5781,0.1468,0.2342
JSWSTEEL,88.7216,76.4573,6.8068,93.1932,0.4291,0.4615,0.0241,0.0458
POWERGRID,14.8611,13.232,4.7029,95.2971,0.4209,0.4966,0.9359,0.6489
ICICIBANK,70.8971,61.5725,4.5078,95.4922,0.1836,0.75,0.0498,0.0934
DIVISLAB,426.5868,374.6763,5.9379,94.0621,0.1804,0.6471,0.0447,0.0837
BHARTIARTL,243.5228,208.2696,10.8948,89.1052,-0.9275,0.5,0.0325,0.0611
TMCV,35.1533,33.7856,7.9118,92.0882,-7.8813,0.0,0.0,0.0
RELIANCE_dissertation_metrics,,,,,,,,
RELIANCE_dissertation_metrics,,,,,,,,
RELIANCE_dissertation_metrics,,,,,,,,
RELIANCE_dissertation_metrics,,,,,,,,
