Symbol,RMSE,MAE,MAPE,Accuracy (%),R2,Precision,Recall,F1_Score
TCS,89.5814,67.2748,2.1649,97.8351,0.9765,0.4607,0.6143,0.5265
ITC,9.4108,6.7993,1.812,98.188,0.9655,0.515,0.4682,0.4905
TMPV,39.9072,25.8333,4.6511,95.3489,0.965,0.472,0.7306,0.5735
INDUSINDBK,37.5712,25.6782,2.8775,97.1225,0.9604,0.5247,0.5847,0.5531
HEROMOTOCO,153.2686,119.7738,2.5043,97.4957,0.9545,0.5192,0.5649,0.5411
SBILIFE,45.6049,36.0306,2.0405,97.9595,0.9502,0.5225,0.4537,0.4856
INFY,52.649,40.9469,2.7267,97.2733,0.9431,0.5,0.4829,0.4913
HDFCLIFE,17.5397,13.7248,1.9734,98.0266,0.9402,0.5149,0.2766,0.3599
ADANIENT,92.4889,68.6167,2.8259,97.1741,0.9159,0.4514,0.583,0.5088
LTM,212.7381,165.0249,3.309,96.691,0.9152,0.5227,0.8133,0.6364
WIPRO,8.5401,7.0671,2.8889,97.1111,0.915,0.549,0.1197,0.1965
SBIN,40.2803,28.1015,3.0158,96.9842,0.9003,0.5304,0.4939,0.5115
TATASTEEL,7.9478,6.3802,3.7886,96.2114,0.8978,0.5254,0.127,0.2046
ONGC,7.4248,5.6067,2.2436,97.7564,0.8935,0.5323,0.4323,0.4771
ASIANPAINT,94.0048,76.8042,3.115,96.885,0.8924,0.4916,0.8803,0.6309
HINDUNILVR,58.2171,46.2941,1.9928,98.0072,0.8909,0.4916,0.7822,0.6038
BRITANNIA,153.9987,119.0971,2.1325,97.8675,0.8848,0.5351,0.2421,0.3333
TATACONSUM,29.1562,22.5607,2.0876,97.9124,0.8829,0.5775,0.3504,0.4362
RELIANCE,34.4841,27.3298,2.008,97.992,0.8758,0.5042,0.5106,0.5074
NESTLEIND,37.4454,27.7459,2.221,97.779,0.868,0.4806,0.2594,0.337
GRASIM,65.9867,50.4469,1.8645,98.1355,0.8675,0.5165,0.5975,0.554
ADANIPORTS,68.6345,49.7503,3.3624,96.6376,0.8621,0.5392,0.2391,0.3313
CIPLA,38.2431,30.2703,2.115,97.885,0.8383,0.5196,0.7107,0.6003
TITAN,158.0509,124.1523,3.2296,96.7704,0.8364,0.4524,0.2375,0.3115
AXISBANK,42.7333,33.6541,2.7474,97.2526,0.8296,0.5231,0.1447,0.2267
COALINDIA,18.2144,15.603,4.1047,95.8953,0.7971,0.5415,0.8672,0.6667
MARUTI,787.2638,567.5343,3.9054,96.0946,0.7948,0.5128,0.1695,0.2548
NTPC,14.0238,11.6108,3.3324,96.6676,0.7861,0.527,0.6582,0.5854
BPCL,17.5765,12.945,3.9942,96.0058,0.7546,0.5565,0.3053,0.3943
HCLTECH,92.0268,80.376,5.1476,94.8524,0.7448,0.48,0.0519,0.0938
HINDALCO,76.596,52.6159,5.9444,94.0556,0.74,0.5658,0.1635,0.2537
SUNPHARMA,41.9392,32.9642,1.8966,98.1034,0.7384,0.5409,0.3413,0.4185
EICHERMOT,553.6848,429.0655,6.3831,93.6169,0.7357,0.5172,0.0625,0.1115
ULTRACEMCO,311.9498,239.0854,2.0814,97.9186,0.7348,0.5246,0.5378,0.5311
BAJAJ-AUTO,511.4441,352.7973,3.6894,96.3106,0.7294,0.5323,0.4057,0.4605
LT,151.635,119.2113,3.2038,96.7962,0.7172,0.4709,0.3904,0.4269
KOTAKBANK,15.509,12.9363,3.1663,96.8337,0.7171,0.5758,0.1603,0.2508
DRREDDY,35.1712,28.3176,2.24,97.76,0.6929,0.4767,0.1715,0.2523
M&M,182.2457,145.8646,4.4746,95.5254,0.6608,0.5714,0.2149,0.3123
APOLLOHOSP,331.9019,285.9196,3.8342,96.1658,0.615,0.5,0.0472,0.0863
BAJFINANCE,73.8622,61.8734,6.6472,93.3528,0.5952,0.5625,0.1071,0.18
JSWSTEEL,78.1693,67.0146,5.9703,94.0297,0.5568,0.4667,0.0281,0.053
SHRIRAMFIN,116.2616,79.9356,9.0585,90.9415,0.5331,0.5479,0.1653,0.254
ICICIBANK,56.2484,48.0257,3.5265,96.4735,0.4861,0.697,0.0954,0.1679
HDFCBANK,56.7202,48.8333,5.3264,94.6736,0.4757,0.5556,0.0433,0.0803
POWERGRID,14.2993,12.8643,4.5441,95.4559,0.4639,0.492,0.9145,0.6398
TECHM,76.1405,66.6513,4.4207,95.5793,0.4589,0.5172,0.0633,0.1128
DIVISLAB,383.5087,342.43,5.47,94.53,0.3376,0.8182,0.0366,0.07
BAJAJFINSV,159.5245,143.3826,7.3881,92.6119,-0.0845,0.3333,0.0084,0.0165
BHARTIARTL,263.6619,234.0993,12.3537,87.6463,-1.2595,0.0,0.0,0.0
TMCV,31.9798,30.3143,7.0886,92.9114,-6.3501,0.0,0.0,0.0
RELIANCE_dissertation_metrics,,,,,,,,
RELIANCE_dissertation_metrics,,,,,,,,
RELIANCE_dissertation_metrics,,,,,,,,
RELIANCE_dissertation_metrics,,,,,,,,
