Symbol,RMSE,MAE,MAPE,Accuracy (%),R2,Precision,Recall,F1_Score
APOLLOHOSP,442.0724,349.4367,4.546,95.454,-0.004,0.4426,0.4696,0.4557
INDUSINDBK,67.2928,57.165,6.8861,93.1139,-0.0043,0.5077,0.5366,0.5217
BRITANNIA,297.7072,231.9432,4.1546,95.8454,-0.0406,0.5752,0.5118,0.5417
HINDUNILVR,154.0133,127.0354,5.5739,94.4261,-0.0498,0.4853,0.5946,0.5344
POWERGRID,16.9533,13.6218,4.879,95.121,-0.0508,0.5369,0.64,0.5839
ULTRACEMCO,582.8566,462.9263,3.9552,96.0448,-0.0523,0.5369,0.6667,0.5948
BPCL,29.3565,26.1926,8.1787,91.8213,-0.0667,0.4177,0.6111,0.4962
LTM,792.1772,657.678,14.3729,85.6271,-0.1135,0.4968,0.65,0.5632
GRASIM,154.5579,104.6118,3.5536,96.4464,-0.2154,0.6024,0.3906,0.4739
ASIANPAINT,214.4247,168.6181,6.4691,93.5309,-0.235,0.5111,0.374,0.4319
ADANIPORTS,174.0953,118.6982,7.2626,92.7374,-0.2694,0.4778,0.3613,0.4115
BAJAJFINSV,151.7565,112.876,6.2009,93.7991,-0.2706,0.5036,0.5948,0.5455
BAJFINANCE,69.6053,57.2697,5.8847,94.1153,-0.2837,0.5976,0.3712,0.4579
SUNPHARMA,99.3103,80.4808,4.5832,95.4168,-0.3486,0.6216,0.3309,0.4319
ADANIENT,355.1926,299.7326,13.2381,86.7619,-0.3682,0.4588,0.7607,0.5723
AXISBANK,115.2568,100.8526,7.9898,92.0102,-0.4425,0.4923,0.2602,0.3404
CIPLA,129.8967,96.6136,7.2587,92.7413,-0.4463,0.5,0.6992,0.5831
TATACONSUM,57.2434,48.1743,4.2138,95.7862,-0.4517,0.5735,0.3277,0.4171
NESTLEIND,119.4569,90.7733,6.8019,93.1981,-0.4989,0.6061,0.32,0.4188
BHARTIARTL,129.0358,112.2982,5.9267,94.0733,-0.6074,0.5,0.7705,0.6065
NTPC,33.3385,24.1029,6.4653,93.5347,-0.6254,0.5775,0.3388,0.4271
TITAN,442.5049,375.2941,9.1608,90.8392,-0.7137,0.4848,0.2645,0.3422
TMCV,34.1339,26.197,6.3413,93.6587,-0.7448,0.5,0.3333,0.4
ONGC,30.8375,21.8509,8.078,91.922,-0.7487,0.5556,0.2439,0.339
HDFCBANK,122.0621,84.9119,10.6911,89.3089,-0.7654,0.4426,0.75,0.5567
DRREDDY,53.9433,44.4186,3.5744,96.4256,-0.7775,0.5468,0.888,0.6768
M&M,321.8854,258.725,7.4118,92.5882,-0.8019,0.5968,0.3083,0.4066
SBILIFE,137.9136,103.7145,5.2342,94.7658,-0.8393,0.5957,0.2205,0.3218
KOTAKBANK,31.9895,25.0336,6.4464,93.5536,-1.0315,0.5025,0.8559,0.6332
ICICIBANK,89.3701,68.9427,5.2696,94.7304,-1.0531,0.4771,0.9204,0.6284
INFY,256.4969,201.748,16.4337,83.5663,-1.2575,0.4486,0.8889,0.5963
HDFCLIFE,114.5254,86.2112,13.7511,86.2489,-1.2917,0.4333,0.963,0.5977
ITC,69.9946,53.4524,17.6309,82.3691,-1.3377,0.4537,0.9196,0.6077
SHRIRAMFIN,251.6138,211.5809,22.5638,77.4362,-1.3558,0.5517,0.2406,0.3351
TATASTEEL,28.4788,22.7631,11.7567,88.2433,-1.3851,0.5789,0.1719,0.2651
WIPRO,40.5057,31.8694,15.7498,84.2502,-1.4967,0.476,0.9397,0.6319
COALINDIA,62.8951,49.5118,11.3305,88.6695,-1.5538,0.6,0.0703,0.1259
LT,373.9908,314.854,7.9046,92.0954,-1.559,0.5714,0.1626,0.2532
BAJAJ-AUTO,1050.2834,880.003,9.2127,90.7873,-1.5988,0.5517,0.128,0.2078
TECHM,144.8432,128.2587,9.1134,90.8866,-1.7065,0.4954,0.8852,0.6353
HCLTECH,281.1373,230.9243,18.0204,81.9796,-1.9099,0.4678,0.9397,0.6246
HINDALCO,228.7028,190.4576,20.039,79.961,-2.0829,0.5,0.0863,0.1472
MARUTI,2599.4524,2153.8027,13.9527,86.0473,-2.1436,0.7692,0.0781,0.1418
TCS,627.1533,520.7955,20.965,79.035,-2.2214,0.4332,1.0,0.6045
SBIN,197.0894,164.6298,16.1065,83.8935,-2.2373,0.6471,0.0833,0.1477
RELIANCE,138.1131,121.1567,8.8569,91.1431,-2.364,0.4722,0.8793,0.6145
JSWSTEEL,154.1266,132.599,10.9704,89.0296,-2.7222,0.6667,0.0923,0.1622
TMPV,279.0715,241.8951,67.5357,32.4643,-2.7469,0.4685,0.9369,0.6246
DIVISLAB,582.7045,506.1231,8.1571,91.8429,-3.016,0.4917,0.9917,0.6575
EICHERMOT,1460.6877,1341.661,18.6839,81.3161,-4.4606,0.5263,0.0781,0.1361
HEROMOTOCO,1174.0794,1082.849,20.0338,79.9662,-5.6191,1.0,0.0234,0.0458
RELIANCE_dissertation_metrics,,,,,,,,
