Symbol,RMSE,MAE,MAPE,Accuracy (%),R2,Precision,Recall,F1_Score
INDUSINDBK,27.4547,19.1856,2.1852,97.8148,0.9789,0.5208,0.6438,0.5758
LTM,120.8464,90.8184,1.7811,98.2189,0.9726,0.5256,0.4768,0.5
WIPRO,5.2993,4.0443,1.6797,98.3203,0.9673,0.4777,0.4612,0.4693
ASIANPAINT,61.314,47.3413,1.9741,98.0259,0.9542,0.504,0.8095,0.6213
TCS,153.3347,105.6443,3.692,96.308,0.9313,0.4103,0.3828,0.396
ADANIENT,87.9517,63.9815,2.6831,97.3169,0.9239,0.4785,0.8091,0.6014
HINDUNILVR,65.5125,38.9778,1.5685,98.4315,0.8618,0.4787,0.4054,0.439
ITC,20.8326,15.762,4.4852,95.5148,0.8309,0.458,0.2778,0.3458
INFY,99.2719,68.0193,4.1073,95.8927,0.7979,0.449,0.2857,0.3492
DRREDDY,31.0326,24.5784,1.953,98.047,0.761,0.5163,0.7404,0.6084
KOTAKBANK,14.9027,11.3956,2.7546,97.2454,0.7388,0.5733,0.1861,0.281
CIPLA,48.8877,39.7911,2.7335,97.2665,0.7358,0.5205,0.6933,0.5946
HDFCLIFE,39.103,29.3285,3.9682,96.0318,0.7028,0.4405,0.1989,0.2741
BRITANNIA,248.1087,202.8469,3.6136,96.3864,0.7009,0.5622,0.5282,0.5447
HEROMOTOCO,412.7113,329.8913,7.1489,92.8511,0.6704,0.5,0.523,0.5112
COALINDIA,23.2746,19.4272,5.0908,94.9092,0.6687,0.545,0.887,0.6752
TMPV,127.8729,92.7524,13.9065,86.0935,0.6404,0.4486,0.7757,0.5685
NESTLEIND,61.8043,36.0215,2.7544,97.2456,0.6403,0.56,0.5316,0.5455
RELIANCE,60.6988,46.9586,3.4709,96.5291,0.6151,0.5043,0.75,0.6031
ONGC,14.4808,12.0692,4.9314,95.0686,0.595,0.4828,0.8053,0.6036
AXISBANK,69.3766,48.2772,3.8579,96.1421,0.5509,0.5069,0.3147,0.3883
SBILIFE,145.1481,110.4484,5.812,94.188,0.496,0.4198,0.1675,0.2394
TATACONSUM,62.2013,42.9285,4.262,95.738,0.4671,0.5373,0.6207,0.576
ADANIPORTS,137.2268,108.8273,7.741,92.259,0.4488,0.4663,0.7067,0.5618
BAJAJ-AUTO,748.0509,542.0496,5.8565,94.1435,0.4211,0.5238,0.5909,0.5553
NTPC,23.8037,19.6857,5.83,94.17,0.3838,0.5134,0.7588,0.6124
TATASTEEL,19.9245,13.5237,7.4847,92.5153,0.3578,0.5165,0.3917,0.4455
TITAN,330.5391,211.1198,5.213,94.787,0.2843,0.5217,0.3529,0.4211
HCLTECH,155.447,121.6466,7.5293,92.4707,0.2718,0.3889,0.0925,0.1495
TECHM,98.0352,76.0809,4.8996,95.1004,0.103,0.4783,0.0472,0.0859
ULTRACEMCO,619.2559,473.0886,3.9418,96.0582,-0.0451,0.5573,0.3133,0.4011
SBIN,133.1956,94.8125,9.9317,90.0683,-0.0896,0.5289,0.5246,0.5267
GRASIM,195.3106,161.5132,5.7976,94.2024,-0.1607,0.5124,0.2661,0.3503
BPCL,39.1528,30.3064,9.4536,90.5464,-0.2179,0.5242,0.2915,0.3746
LT,318.2659,226.1765,5.8115,94.1885,-0.2458,0.5,0.2478,0.3314
MARUTI,1974.5596,1365.8342,9.2842,90.7158,-0.291,0.4969,0.3391,0.4031
POWERGRID,22.9136,20.1953,7.2137,92.7863,-0.3767,0.4942,0.9177,0.6424
HINDALCO,183.4453,125.3529,13.8464,86.1536,-0.4911,0.6471,0.126,0.2109
BAJAJFINSV,202.5465,164.0039,8.2709,91.7291,-0.7483,0.4615,0.0256,0.0486
BAJFINANCE,153.9554,126.4585,13.387,86.613,-0.7585,0.541,0.1341,0.215
SHRIRAMFIN,242.7479,177.9286,20.5592,79.4408,-1.0357,0.5854,0.0996,0.1702
HDFCBANK,117.0673,94.1838,10.1069,89.8931,-1.2335,0.55,0.0482,0.0887
EICHERMOT,1696.4139,1313.4176,19.2765,80.7235,-1.481,0.6078,0.1303,0.2145
M&M,520.5212,427.4224,12.9184,87.0816,-1.7671,0.6,0.0753,0.1338
APOLLOHOSP,957.3816,813.0196,10.7558,89.2442,-2.2033,0.75,0.0262,0.0506
JSWSTEEL,213.1835,177.7584,15.6068,84.3932,-2.2961,0.75,0.0123,0.0242
SUNPHARMA,151.6365,126.3602,7.1219,92.8781,-2.4197,0.6429,0.0723,0.13
TMCV,23.1814,20.5541,4.7829,95.2171,-2.8621,1.0,0.4,0.5714
ICICIBANK,162.9498,143.1751,10.4492,89.5508,-3.3128,0.625,0.021,0.0407
BHARTIARTL,403.7372,363.8238,19.2544,80.7456,-4.298,1.0,0.0124,0.0246
DIVISLAB,1386.7997,1294.7957,20.6191,79.3809,-7.6615,0.6,0.0373,0.0703
RELIANCE_dissertation_metrics,,,,,,,,
RELIANCE_dissertation_metrics,,,,,,,,
RELIANCE_dissertation_metrics,,,,,,,,
RELIANCE_dissertation_metrics,,,,,,,,
