Price,Close,High,Low,Open,Volume
Ticker,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS
Date,,,,,
2011-07-13,288.5539855957031,293.4632662398121,284.8109798508606,284.8109798508606,5539260
2011-07-14,287.81268310546875,290.0367729127422,285.6970814461962,287.4510467484375,1159140
2011-07-15,289.3134460449219,290.74191904469336,285.87785990957053,285.89593206715944,1560965
2011-07-18,284.9827880859375,292.02577027091525,283.64473100738445,289.31345661514825,805790
2011-07-19,289.2412109375,290.0187277980719,284.5760270008046,284.5760270008046,1319150
2011-07-20,283.2649841308594,293.09259582013146,281.4477252217939,292.92986362886353,3121505
2011-07-21,278.4371032714844,282.80391648280767,276.701210246379,280.27243456190774,1606020
2011-07-22,283.86175537109375,285.2902286651102,279.82040623555076,280.5256068019032,1434195
2011-07-25,287.1526184082031,289.1326094801906,280.27239637321134,283.17456410692836,1574155
2011-07-26,285.3896179199219,287.9663211560481,281.40251392969935,286.78194651755797,979160
2011-07-27,287.35162353515625,289.3135431396514,283.41878963097327,285.154655438801,2230030
2011-07-28,290.0005798339844,292.7128934423349,282.3608854673647,285.33539711669175,5001755
2011-07-29,286.7909851074219,289.1145403298316,284.874287952669,286.6011308850194,2764975
2011-08-01,289.4039001464844,291.60991767052514,284.9737929384328,286.60117025042433,1762650
2011-08-02,289.033203125,291.8449552003521,286.2395232089421,287.50526413661,2733920
2011-08-03,284.8291015625,287.1436069740007,283.1745748058773,286.4203067884812,1630445
2011-08-04,279.20562744140625,284.1962755842705,278.6450869271927,283.88888328909167,851945
2011-08-05,276.7825622558594,277.94883718425115,266.98204528840427,273.5820246306283,3373740
2011-08-08,279.6034240722656,283.8707992946037,271.0505738755715,271.773874179154,3381550
2011-08-09,269.69439697265625,273.0215229417906,262.7418302410991,262.7418302410991,5483890
2011-08-10,268.754150390625,273.7628701612239,266.5300331414707,272.8587655337547,1221740
2011-08-11,268.193603515625,273.60918127536974,267.3527652629848,267.61496332417727,1450545
2011-08-12,268.68182373046875,272.65085654228557,267.38896065247116,271.2314055646368,1011530
2011-08-16,271.7015075683594,274.30533326072884,269.9023482229176,270.5081104519259,1229375
2011-08-17,271.9185485839844,274.83878921604696,266.34926011249473,273.85331836707326,863545
2011-08-18,264.47772216796875,274.6669712556931,262.32594876769673,274.6669712556931,959075
2011-08-19,255.34622192382812,267.94944059511215,252.16378408378503,260.4001626612306,4243135
2011-08-22,262.2897033691406,263.9984738580339,250.63581248352025,255.34618848678744,1290885
2011-08-23,261.32244873046875,263.8177591173448,257.76027375277084,263.09448634252897,1144450
2011-08-24,261.7563781738281,263.094463038913,258.88133190062416,261.8287219995545,591615
2011-08-25,263.2843017578125,269.3870080145083,261.7021186542247,265.987593365308,3284205
2011-08-26,262.4073181152344,269.42317885000546,259.3966618473564,263.9985510879248,1511705
