Price,Close,High,Low,Open,Volume
Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
Date,,,,,
2011-07-13,164.25479125976562,165.23657318077466,163.06261441997265,163.63142748690564,7449898
2011-07-14,166.60015869140625,168.92996149562794,163.03923116227983,163.61583901363483,13062016
2011-07-15,165.29112243652344,167.37156941993146,164.80021840175814,165.96902383079518,8569632
2011-07-18,163.25738525390625,165.11187345008105,162.36908912225095,164.72227607867526,8912761
2011-07-19,165.47032165527344,166.73261256044177,162.24444096271068,163.00026438784832,9965032
2011-07-20,162.90676879882812,166.59237454106452,162.43146749514526,166.12485498510304,9530686
2011-07-21,162.2288818359375,164.2781758538925,161.64449214792555,162.3847260613107,7679364
2011-07-22,166.44430541992188,166.74819898061844,163.07818332612752,163.31973136247223,14966286
2011-07-25,167.5040283203125,168.9299582698927,164.6443735955115,166.42093991325623,11831814
2011-07-26,162.00291442871094,168.25987139942862,160.9431972963037,167.67546866522292,23305628
2011-07-27,159.7198486328125,163.03922804904815,158.7458485490258,162.29898118451567,14696011
2011-07-28,158.558837890625,161.3717367359647,157.3978404645885,157.7251054339108,21029090
2011-07-29,161.56654357910156,163.7872580341891,156.4004705281649,157.5536731399586,35954077
2011-08-01,162.90676879882812,165.14307307258125,161.8704361808509,164.06777940172663,11485974
2011-08-02,159.22116088867188,162.28340257020704,158.66012962810004,162.0574311008698,16090563
2011-08-03,156.1433563232422,157.7796683536439,154.3356104157803,157.7796683536439,21226898
2011-08-04,154.7719268798828,158.17702295013132,154.2810360035065,157.1640618972966,14940392
2011-08-05,150.6188201904297,152.6759087625356,148.04746928422256,151.16426182832524,25544739
2011-08-08,148.18772888183594,151.94344845733877,145.46053391877572,146.49686643531064,18978404
2011-08-09,146.51243591308594,150.7902385703206,141.88400998838927,142.59307750559316,29403467
2011-08-10,150.1824493408203,151.35124140211326,149.2474104603602,150.22141038405317,18588124
2011-08-11,146.88645935058594,151.1408776081456,146.4890671251552,149.37209311764263,21163912
2011-08-12,146.4812774658203,150.3850595087821,145.25015277680498,149.49677635884282,26148012
2011-08-16,145.80340576171875,150.49417841116806,145.3436809814923,149.93316011374856,16205882
2011-08-17,141.78273010253906,146.80075390196694,141.29183917099473,145.39820838326884,32595326
2011-08-18,134.61412048339844,142.59309268624727,134.22452304871663,142.59309268624727,43620357
2011-08-19,129.68179321289062,133.00117258690221,128.31040090310663,131.68433097734243,47374162
2011-08-22,132.61935424804688,133.64011017355287,128.63766327602005,130.12592562466486,20057889
2011-08-23,132.79859924316406,134.5362179174546,129.61169202625098,133.55442282291662,25564489
2011-08-24,131.24798583984375,133.8582978229962,129.95451554802227,131.68433915446795,16749628
2011-08-25,129.9467010498047,133.08686454880754,128.95712449425054,132.44792432564935,31804679
2011-08-26,127.82730865478516,130.4064412510647,126.83771890261357,129.74412955292524,19450365
2011-08-29,133.71803283691406,134.59852114493032,130.12592617609215,130.12592617609215,16352996
2011-08-30,136.08680725097656,138.19843367223828,134.02193671181354,135.58033968894233,19674077
2011-09-02,138.25296020507812,140.20874206305254,136.5387263849992,138.93086152340814,38295103
2011-09-05,137.6374053955078,138.5724444980969,134.86346739258528,136.6712000666414,18440438
2011-09-06,138.58023071289062,139.67110087907926,133.28947967224408,136.35951625187926,28641646
2011-09-07,139.842529296875,141.27625416631994,138.7126980188555,139.320472123139,18460090
2011-09-08,143.20863342285156,144.6189735047362,137.76203907791083,140.55156610103091,23734656
2011-09-09,139.7567901611328,144.2683323866167,139.2736810829951,144.2683323866167,17818630
2011-09-12,134.38815307617188,137.76207036324314,132.98559442165063,137.18547555899963,20189950
2011-09-13,132.83755493164062,137.19326752486242,131.2168325723669,135.96993746789607,14670975
2011-09-14,134.653076171875,135.369938561995,130.9129200221823,133.53102671125387,22201311
2011-09-15,136.54652404785156,137.512716219511,132.60378094831336,136.35951362684125,15777349
2011-09-16,137.7464599609375,139.46848836025165,135.73612769102093,138.8529195761088,34330356
2011-09-19,133.9440155029297,136.78029926225832,133.3985868819026,136.78029926225832,11492277
2011-09-20,137.50494384765625,138.35426600783705,134.03751485052638,134.37256158750685,14962002
2011-09-21,140.4425048828125,141.0035361725638,136.6867851039766,138.21400861140438,17767211
2011-09-22,134.38815307617188,137.6997379106602,133.04792687423358,137.15430933270815,16171727
2011-09-23,131.48948669433594,134.94132476348767,130.64795967128256,132.19855403677442,16569982
2011-09-26,133.71803283691406,136.2893835679044,129.81425086649014,131.52848468715035,22269373
2011-09-27,138.08154296875,139.84251962920362,136.149132459053,136.28159218022608,16565763
2011-09-28,135.38551330566406,139.0087862570857,133.64790805494872,138.77501996160487,17561780
2011-09-29,138.80621337890625,139.58540835936216,133.72585635176344,134.3570019317903,25041192
2011-09-30,136.42185974121094,138.57244710186174,134.9569686072475,138.57244710186174,20190109
2011-10-03,130.76487731933594,134.02192446512967,130.2895760292769,134.02192446512967,14760988
2011-10-04,124.81961059570312,131.60641924954487,123.2923870475767,129.9701073709403,32054121
2011-10-05,121.4378890991211,125.29491526209338,118.65614342673955,124.82739575034827,46823914
2011-10-07,128.48182678222656,129.59608144342192,127.00915399609654,127.33640589619196,34183363
2011-10-10,131.31808471679688,132.12065081681175,127.18834493019067,128.55192912563837,17562314
2011-10-11,129.736328125,134.1777568486724,129.20647617773872,132.7751983445812,16706844
2011-10-12,133.97518920898438,134.5440022867214,129.93115213135766,130.90513924451022,22795839
2011-10-13,137.11532592773438,138.51008952866727,134.9569441321588,136.43742465034535,32000985
2011-10-14,138.75946044921875,140.255517841394,135.90758714940617,136.67120549853578,18327496
2011-10-17,140.07627868652344,140.73859033672454,138.24516176874923,139.4762864023145,14377132
2011-10-18,136.59326171875,138.39321243112224,134.9647448483682,138.38541760583794,14456079
2011-10-19,140.9022216796875,141.48661120308793,138.38540877312056,138.38540877312056,14040647
2011-10-20,136.8347930908203,138.22177483703007,135.6036685956203,137.97241892969168,14801732
2011-10-21,135.666015625,137.6529767231332,135.04266502530132,137.1387013616009,10742424
2011-10-24,135.3387451171875,139.86589045781747,134.18554263153086,137.8867242661312,17946791
2011-10-25,136.8893585205078,138.99318968220376,132.8764883550802,136.9828571869028,41863701
2011-10-28,145.45272827148438,145.70986594474698,142.04763223376315,142.07101670860135,37484238
2011-10-31,145.10987854003906,148.6162678677503,143.613821534881,145.7098576912903,29742339
2011-11-01,139.47625732421875,143.91768502648716,139.08666000910645,143.0527734939414,29988117
2011-11-02,137.91790771484375,140.87106118227356,133.89725546610404,138.02699604072288,24366930
2011-11-03,136.8347930908203,138.94641885034684,135.43224785306893,137.138686611376,26032380
2011-11-04,137.80882263183594,139.00879424474365,137.0218329332484,138.63477338190907,17798830
2011-11-08,137.34132385253906,138.2296071878316,135.6816403540783,137.84000969265307,14542528
2011-11-09,134.3569793701172,138.59580824542587,133.60115591928192,138.19062116905883,30353092
2011-11-11,127.94419860839844,133.554420703468,127.27409198035575,133.43755061294377,45793786
2011-11-14,127.94419860839844,130.81944348095965,126.81436720953917,130.5778953943558,29633483
