Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2011-07-13,237.38478088378906,239.95325534862823,235.99584104238113,236.4189293128821,13338168
2011-07-14,234.22654724121094,236.24798055124901,233.42736428562267,235.92745597560966,10891224
2011-07-15,233.45726013183594,236.15820104331246,232.4871308527916,234.538487889728,6392624
2011-07-18,231.92298889160156,234.47437243855455,231.40589268911276,233.76921848881682,9408656
2011-07-19,235.09400939941406,236.07695108568686,232.20073356717648,232.57255029114913,8324424
2011-07-20,235.26072692871094,237.0001150566009,234.6239557033041,237.0001150566009,6222712
2011-07-21,236.5983123779297,238.0000641501938,233.92299773293132,234.64096408116902,5897088
2011-07-22,241.73953247070312,243.0857351177158,236.7607195063547,237.9829902101536,7749624
2011-07-25,239.98745727539062,241.46614830165785,238.5643363681303,240.86355786734956,7404256
2011-07-26,239.47877502441406,241.37627556677648,238.256504299713,240.0941777857915,6848736
2011-07-27,239.03860473632812,242.3934276721693,238.57277999261802,239.41042148512648,8506440
2011-07-28,235.14537048339844,237.09414309431097,233.72650676529346,236.33343982667267,9481376
2011-07-29,237.2650146484375,237.82486820433874,232.94861864668343,234.28200872886978,9757592
2011-08-01,240.6156768798828,241.35928974174357,237.6241140939601,237.6241140939601,6094952
2011-08-02,235.13255310058594,239.20108676655954,234.6239916092106,239.20108676655954,4932528
2011-08-03,233.56402587890625,234.17087295165655,231.50411384219933,233.769153169066,5646088
2011-08-04,231.55966186523438,235.90170366927092,231.11948332645142,234.1965178677799,6529888
2011-08-05,221.47816467285156,225.95697313635873,215.81984267406162,225.95697313635873,15758072
2011-08-08,211.16151428222656,213.6829733679686,207.78532330301266,213.6829733679686,16170240
2011-08-09,202.96041870117188,208.55035839069492,200.87913765250923,200.94752039525991,16849744
2011-08-10,209.1614532470703,211.66580103985672,206.08441838278083,209.23837077168628,13955960
2011-08-11,208.60589599609375,211.03332647940348,206.41349594049163,207.8708181441512,8206232
